[info] runServer socketPath=/tmp/.cursor/home-runner-work-patchpilot-v2-patchpilot-v2-patchpilot-data-workspaces-b742203/worker.sock
[error] npx not found in PATH ERROR: [object Object]
[info] Indexing now
[info] Getting tree structure for workspacePath=/home/runner/work/patchpilot-v2/patchpilot-v2/.patchpilot-data/workspaces/moolen__skouter
[info] Syncing merkle subtree path=. localHash=934b54a47fbeb9993043cafeab427678c1f97a869d76d9ca3c151f17d2c2029c remoteHash=
[info] Syncing merkle subtree path=Makefile localHash=5e68877748027106ad12399802266bd84f5278e1f114a90fd30e91d3431872cb remoteHash=undefined
[info] Applying change type=add relativePath=Makefile
[info] Syncing merkle subtree path=.gitignore localHash=e71aac612ddd2e8713e38ef4923cfb5bd5cbf7a5488c55a1612ba46dd23558f4 remoteHash=undefined
[info] Applying change type=add relativePath=.gitignore
[info] Syncing merkle subtree path=diagrams.drawio localHash=ec2b72736fdea2202001a1adc012f960f3c0d5200cebf2e619cf51c12bacb818 remoteHash=undefined
[info] Applying change type=add relativePath=diagrams.drawio
[info] Syncing merkle subtree path=test localHash=a4d26a0f6c4c9e78e60356bf85225c0afc68aad4ae9af98b2ecb99f893cbad1f remoteHash=undefined
[info] Syncing merkle subtree path=.patchpilot localHash=01380832122fde8f87c4a4e4e0212d2052a895dfaa04e862d4df4a4acbb00e65 remoteHash=undefined
[info] Syncing merkle subtree path=example.egress.yaml localHash=0e2d921d94a486a82ac32fcd1a7dd35b34ef5105ffe4d89b08ddc487ba263dc7 remoteHash=undefined
[info] Applying change type=add relativePath=example.egress.yaml
[info] Syncing merkle subtree path=tools localHash=595da2001d23fbc838f9639e0f0b6205080880811b37361b088a1e56a9205353 remoteHash=undefined
[info] Syncing merkle subtree path=crds localHash=25ebcf1f5c8621d69b9befd0c02e777dfc0ff6c36c61f7d32e9fb00734535752 remoteHash=undefined
[info] Syncing merkle subtree path=.cursor localHash=47fa1f9eca5fb9b4b7497c669926b106e2008d5312ef9dc02274afb4dbb2b48d remoteHash=undefined
[info] Syncing merkle subtree path=cmd localHash=8ea3a19ad0bd83a44d3fa3a6a4f486beefab810ece04fa6a59d5347cad714db0 remoteHash=undefined
[info] Syncing merkle subtree path=deploy localHash=4ba0ddd0871ffe0b8eb3c4da2737d453db5af48a68dfc7f690a13f2b3cd26a3a remoteHash=undefined
[info] Syncing merkle subtree path=go.mod localHash=c3fd9db2c4bc0acfa5a532aa150fa6121ea97bf0408b05564fa9f8f9e0783744 remoteHash=undefined
[info] Applying change type=add relativePath=go.mod
[info] Syncing merkle subtree path=main.go localHash=d4651b5464194f6c97dab3a8349f908104c05f9ea8dd14eb109c45c452a9c708 remoteHash=undefined
[info] Applying change type=add relativePath=main.go
[info] Syncing merkle subtree path=.config localHash=cccacbd4be3d4fb7fd02954fc15d7e00122e44e321a52b03a673d95e78a713d0 remoteHash=undefined
[info] Syncing merkle subtree path=README.md localHash=83fb32a33e80146d12eea480a3053cd0d06a817842eae39efaf9f6b44fd4b9de remoteHash=undefined
[info] Applying change type=add relativePath=README.md
[info] Syncing merkle subtree path=.github localHash=e0a23037d98a7909cc6eb9945766bae23637b84028d1013111f7145699097969 remoteHash=undefined
